user,item,time
11,4643,1230782529
11,170,1230782534
11,531,1230782539
11,616,1230782542
11,2140,1230782563
11,2722,1230782583
11,2313,1230782646
11,2688,1230782656
11,2428,1230782694
11,3113,1230782719
11,1591,1230782724
11,2600,1230782748
11,8169,1230783004
11,2572,1230783041
11,58293,1230783046
11,7541,1230783053
11,1367,1230783065
11,32,1230783095
11,4792,1230783100
11,7444,1230783123
11,53953,1230783161
11,56949,1230783384
11,6502,1230783392
11,53000,1230783397
11,51662,1230783438
11,5151,1230783478
11,35836,1230783482
11,7293,1230783500
11,33585,1230783564
11,8810,1230783579
11,56801,1230783616
11,5377,1230783644
11,344,1230783700
11,19,1230783704
11,410,1230783786
11,2124,1230783788
11,828,1230784021
11,1274,1230784185
11,8977,1230784216
11,1032,1230784254
11,1214,1230784258
11,1200,1230784277
11,1320,1230784317
11,3897,1230784412
11,7173,1230784442
11,1225,1230784460
11,2858,1230784640
11,59418,1230784666
11,45361,1230784705
11,2706,1230784732
11,1321,1230784904
11,2793,1230784958
11,33085,1230785024
11,4235,1230785037
11,3892,1230785081
11,4340,1230785185
11,27660,1230785191
11,43556,1230785199
11,47124,1230785226
11,2294,1230785306
11,48304,1230785341
11,150,1230785343
11,31184,1230785400
11,34338,1230785494
11,1917,1230785499
11,50162,1230785566
11,2827,1230785615
11,27368,1230785619
11,4366,1230785667
11,2153,1230785789
11,30812,1230785798
11,3525,1230785908
11,1270,1230785922
11,2011,1230785925
11,2012,1230785927
11,8973,1230785984
11,1255,1230786024
11,2018,1230786066
11,541,1230787503
11,4878,1230787506
11,7361,1230787509
11,31658,1230787512
11,2571,1230787515
11,7099,1230787521
11,260,1230787560
11,1196,1230787560
11,60069,1230787565
11,160,1230787621
11,1882,1230787636
11,60037,1230787639
11,880,1230787643
11,36509,1230787648
11,405,1230787663
11,3826,1230787667
11,4133,1230787739
11,673,1230787775
11,6541,1230787787
11,611,1230787801
11,172,1230787804
11,4638,1230787823
11,5171,1230787846
11,208,1230787870
11,4887,1230787884
11,5459,1230787901
11,60760,1230787942
11,8361,1230787955
11,60514,1230787963
11,1544,1230787983
11,1876,1230787997
11,442,1230788002
11,32213,1230788015
11,5219,1230788070
11,1690,1230788078
11,2717,1230788110
11,27608,1230788278
11,52722,1230788333
11,780,1230788340
11,6934,1230788346
11,52287,1230788355
11,3745,1230788390
11,45499,1230788427
11,37830,1230788438
11,60040,1230788448
11,34319,1230788451
11,8644,1230788473
11,6365,1230788478
11,34048,1230788489
11,316,1230788496
11,3300,1230788503
11,7022,1230788539
11,7254,1230788552
11,57368,1230788571
11,1584,1230788580
11,2232,1230788590
11,1748,1230788594
11,1253,1230788606
11,49278,1230788611
11,42718,1230788616
11,1097,1230788620
11,7481,1230788624
11,5903,1230788633
11,1653,1230788655
11,741,1230788659
11,27728,1230788663
11,2716,1230788672
11,52281,1230788678
11,57640,1230788684
11,2761,1230788701
11,59315,1230788705
11,480,1230788713
11,3702,1230788726
11,1580,1230788734
11,5445,1230788741
11,52885,1230788759
11,3527,1230788764
11,44849,1230788771
11,27904,1230788788
11,5349,1230788806
11,8636,1230788810
11,589,1230788848
11,1240,1230788851
11,2916,1230788870
11,3793,1230788886
11,6333,1230788888
11,3054,1230788921
11,546,1230788928
11,256,1230788946
11,173,1230788954
11,2642,1230788958
11,7846,1230789034
11,8870,1230789074
11,54771,1230789079
11,7845,1230789100
11,34150,1230789106
11,51412,1230789129
11,3697,1230789135
11,6534,1230789183
11,7163,1230789208
11,5463,1230789238
11,3438,1230789252
11,3269,1230789266
11,8371,1230789270
11,5046,1230789277
11,6537,1230789294
11,4446,1230789319
11,8865,1230789324
11,5378,1230789329
11,32031,1230789334
11,3704,1230789353
11,4533,1230789386
11,6659,1230789394
11,2134,1230789398
11,1676,1230789404
11,2105,1230789406
11,5502,1230789426
11,3033,1230789430
11,592,1230789445
11,56174,1230789569
11,318,1230850571
11,60832,1230850617
11,4993,1230853675
11,3114,1230853680
11,1136,1230853691
11,1073,1230853696
11,648,1230853720
11,110,1230853748
11,8622,1230853753
11,6874,1230853758
11,6863,1230853768
11,6539,1230853775
11,6377,1230853778
11,5816,1230853783
11,5669,1230853788
11,5618,1230853791
11,5299,1230853796
11,3863,1230853813
11,3752,1230853817
11,2355,1230853836
11,2291,1230853841
11,1339,1230853869
11,1029,1230853917
11,1028,1230853922
11,784,1230853947
11,610,1230853952
11,551,1230853957
11,158,1230853973
11,54001,1230853997
11,50872,1230854003
11,48394,1230854006
11,45722,1230854012
11,33679,1230854017
11,31878,1230854021
11,30793,1230854026
11,6953,1230854046
11,6503,1230854051
11,6281,1230854056
11,5782,1230854061
11,5400,1230854065
11,5266,1230854070
11,4388,1230854073
11,4299,1230854075
11,4054,1230854094
11,3988,1230854101
11,3980,1230854124
11,3969,1230854128
11,3247,1230854150
11,2840,1230854275
11,2720,1230854280
11,2004,1230855910
11,761,1230856213
11,56757,1230856654
11,41571,1230856660
11,36401,1230856670
11,8965,1230856675
11,8907,1230856729
11,8640,1230856739
11,7439,1230856746
11,6996,1230856754
11,5283,1230856800
11,4974,1230857019
11,2959,1230857185
11,2240,1230857238
11,2042,1230857266
11,2028,1230857271
11,296,1230858799
11,356,1230858804
11,593,1230858809
11,1,1230858821
11,1210,1230858825
11,608,1230858873
11,377,1230858880
11,1198,1230858888
11,165,1230858900
11,595,1230858904
11,153,1230858914
11,364,1230858919
11,597,1230858934
11,231,1230858945
11,500,1230858949
11,367,1230858954
11,1721,1230858964
11,587,1230858969
11,1197,1230858974
11,2628,1230858979
11,253,1230858996
11,1291,1230859001
11,3578,1230859008
11,1036,1230859011
11,185,1230859015
11,4306,1230859022
11,586,1230859027
11,39,1230859032
11,5952,1230859039
11,2396,1230859056
11,1961,1230859062
11,1527,1230859076
11,1387,1230859169
11,8368,1230859180
11,6378,1230859187
11,6016,1230859193
11,4896,1230859199
11,3000,1230859482
11,2810,1230859489
11,3159,1230859507
11,7458,1230920139
11,5152,1230920144
11,33493,1230920155
11,41566,1230920167
11,4973,1230920197
11,33794,1230920206
11,4995,1230920211
11,33660,1230920250
11,33166,1230920268
11,58559,1230920279
11,62265,1251142927
11,27441,1251143041
11,67295,1251143165
11,653,1251143205
11,55999,1251143246
11,63859,1251143342
11,3753,1251143388
11,8972,1251143620
11,53125,1251143633
11,3083,1251143969
11,5225,1251144006
11,1046,1251144145
11,64034,1251144218
11,53996,1251169551
11,43932,1251169611
11,26887,1251169624
11,66171,1251169681
11,68319,1251169682
11,51698,1251169711
11,5444,1251169720
11,6731,1251169969
11,2455,1251170040
11,56145,1251170092
11,968,1251170109
11,54995,1251170120
11,52328,1251170202
11,3994,1251170238
11,44191,1251170242
11,6979,1251170251
11,60684,1251170254
11,6250,1251170336
11,44731,1251170347
11,64497,1251170364
11,3864,1251170399
11,6294,1251170405
11,64997,1251170446
11,67197,1251170472
11,69526,1251170492
11,5882,1251170529
11,31660,1251170533
11,1391,1251170543
11,4571,1251170564
11,4492,1251170625
11,2985,1251170690
11,380,1251170857
11,527,1251170861
11,588,1251170867
11,736,1251170912
11,2762,1251170922
11,41569,1294795811
11,72641,1294795915
11,48774,1294795934
11,48516,1294795982
11,71282,1294796015
11,64614,1294796033
11,34542,1294796038
11,65514,1294796070
11,48738,1294796106
11,6291,1294796113
11,46578,1294796119
11,7153,1294796132
11,4226,1294796159
14,8961,1225308746
14,1396,1225308757
